"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Name 1","Old Health Facility Name 2","Old Health Facility Name 3","Facility Major Type","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Service Capability","Bed Capacity","Licensing Status","License Validity Date"
"DOH000000000003793","3793","ADLAWAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","CITY OF ROXAS (CAPITAL)","0601914000","ADLAWAN","0601914001","5800","","","","","","","","0"," ",""
"DOH000000000002668","2668","AGAMBULONG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","JAMINDAN","0601906000","AGAMBULONG","0601906001","5808","","","","","","","","0"," ",""
"DOH000000000008704","8704","AGANAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","DAO","0601902000","AGANAN","0601902001","5810","","","","","","","","0"," ",""
"DOH000000000024051","24051","AGANAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","PAVIA","0603036000","AGANAN","0603036001","5001","","","","","","","","0"," ",""
"DOH000000000008343","8343","AGBABADIANG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PANITAN","0601910000","AGBABADIANG","0601910001","5815","","","","","","","","0"," ",""
"DOH000000000019160","19160","AGBAGO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","IBAJAY","0600406000","AGBAGO","0600406001","5613","","","","","","","","0"," ",""
"DOH000000000006167","6167","AGBALO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PANAY","0601909000","AGBALO","0601909001","5801","","","","","","","","0"," ",""
"DOH000000000023896","23896","AGBANOG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PONTEVEDRA","0601912000","AGBANOG","0601912001","5802","","","","","","","","0"," ",""
"DOH000000000035102","35102","AGBOBOLO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","AJUY","0603001000","AGBOBOLO","0603001002","5012","","","","","","","","0"," ",""
"DOH000000000024056","24056","AGBOY SUR BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","LEON","0603028000","AGBOY SUR","0603028002","5026","","","","","","","","0"," ",""
"DOH000000000008762","8762","AGBUN-OD BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","JAMINDAN","0601906000","AGBUN-OD","0601906002","5808","","","","","","","","0"," ",""
"DOH000000000023837","23837","AGCABUGAO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","CUARTERO","0601901000","AGCABUGAO","0601901001","5811","","","","","","","","0"," ",""
"DOH000000000000934","934","AGCAGAY BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","JAMINDAN","0601906000","AGCAGAY","0601906003","5808","","","","","","","","0"," ",""
"DOH000000000018265","18265","AGCALAGA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CALINOG","0603013000","AGCALAGA","0603013002","5040","","","","calinogrhu@yahoo.com","","","","0"," ",""
"DOH000000000023905","23905","AGCOCOC BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","TAPAZ","0601917000","AGCOCOC","0601917003","5814","","","","","","","","0"," ",""
"DOH000000000018662","18662","AGCUYAWAN CALSADA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","BAROTAC NUEVO","0603007000","AGCUYAWAN CALSADA","0603007002","5007","+63 333612882","","","","","","","0"," ",""
"DOH000000000005209","5209","AGDAHON BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","CUARTERO","0601901000","AGDAHON","0601901002","5811","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000006443","6443","AGDAHON BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CITY OF PASSI","0603035000","AGDAHON","0603035001","5037","+63 333115046","","","passicity_healthoffice@yahoo.co","dohro6hrh.passicity@gmail.com","","","0"," ",""
"DOH000000000018439","18439","AGDAYAO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CITY OF PASSI","0603035000","AGDAYAO","0603035002","5037","+63 333115046","","","passicity_healthoffice@yahoo.com","dohro6hrh.passicity@gmail.co","","","0"," ",""
"DOH000000000008346","8346","AGKILO BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PANITAN","0601910000","AGKILO","0601910002","5815"," "," "," "," "," "," ","","0"," ",""
"DOH000000000018444","18444","AGLALANA BARANGAY HEALTH CENTER","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CITY OF PASSI","0603035000","AGLALANA","0603035003","5037","+63 333115046","","","passicity_healthoffice@yahoo.com","dohro6hrh.passicity@gmail.com","","","0"," ",""
"DOH000000000002484","2484","AGLALANA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","DUMARAO","0601904000","AGLALANA","0601904002","5812","","","","","","","","0"," ",""
"DOH000000000023861","23861","AGLIBACAO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","JAMINDAN","0601906000","AGLIBACAO","0601906004","5808","","","","","","","","0"," ",""
"DOH000000000023867","23867","AGLIMOCON BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","MA-AYON","0601907000","AGLIMOCON","0601907001","5809","","","","","","","","0"," ",""
"DOH000000000009000","9000","AGLINAB BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","TAPAZ","0601917000","AGLINAB","0601917004","5814","","","","","","","","0"," ",""
"DOH000000000008775","8775","AGLOLOWAY BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","JAMINDAN","0601906000","AGLOLOWAY","0601906005","5808","","","","","","","","0"," ",""
"DOH000000000015222","15222","AGLOSONG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CONCEPCION","0603015000","AGLOSONG","0603015002","5013","","","","concepcionrhu5013@gmail.com","","","","0"," ",""
"DOH000000000008272","8272","AGLOWAY BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PANITAN","0601910000","AGLOWAY","0601910003","5815","","","","","","","","0"," ",""
"DOH000000000018789","18789","AGMAILIG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","LIBACAO","0600409000","AGMAILIG","0600409001","5602","+63 362732276","","","","","","","0"," ",""
"DOH000000000023853","23853","AGMALOBO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","IVISAN","0601905000","AGMALOBO","0601905001","5805","","","","","","","","0"," ",""
"DOH000000000018598","18598","AGMANAPHAO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","MINA","0603031000","AGMANAPHAO","0603031002","5032","","","","","","","","0"," ",""
"DOH000000000015223","15223","AGNAGA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CONCEPCION","0603015000","AGNAGA","0603015003","5013","","","","","","","","0"," ",""
"DOH000000000047627","47627","AGNAGA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","CUARTERO","0601901000","AGNAGA","0601901003","5811","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000023879","23879","AGOJO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PANAY","0601909000","AGOJO","0601909003","5801","","","","","","","","0"," ",""
"DOH000000000055264","55264","AGPALALI BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","TAPAZ","0601917000","AGPALALI","0601917006","5814","","","","","","","","0"," ",""
"DOH000000000045545","45545","AGRICULA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","SAN REMIGIO","0600614000","AGRICULA","0600614001","5714","","","","","","","","0"," ",""
"DOH000000000009534","9534","AGSANAYAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","GUIMARAS","0607900000","BUENAVISTA","0607901000","AGSANAYAN","0607901001","5044","","","","","","","","0"," ",""
"DOH000000000008615","8615","AGSILAB BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","SAPI-AN","0601915000","AGSILAB","0601915001","5806","","","","","","","","0"," ",""
"DOH000000000015268","15268","AGSIRAB BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","LAMBUNAO","0603025000","AGSIRAB","0603025001","5042","","","","","","","","0"," ",""
"DOH000000000018546","18546","AGTABO BARANGAY HEALTH CENTER","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CITY OF PASSI","0603035000","AGTABO","0603035004","5037","+63 333115046","","","passicity_healthoffice@yahoo.com","dohro6hrh.passicity@gmail.com","","","0"," ",""
"DOH000000000008692","8692","AGTAMBI BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","DAO","0601902000","AGTAMBI","0601902002","5810","","","","","","","","0"," ",""
"DOH000000000018563","18563","AGTAMBO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CITY OF PASSI","0603035000","AGTAMBO","0603035005","5037","","","","passicity_healthoffice@yahoo.com","dohro6hrh.passicity@gmail.com","","","0"," ",""
"DOH000000000007547","7547","AGTANGUAY BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","DAO","0601902000","AGTANGUAY","0601902003","5810","","","","","","","","0"," ",""
"DOH000000000018627","18627","AGTATACAY BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","DINGLE","0603016000","AGTATACAY","0603016003","5035","","","","","","","","0"," ",""
"DOH000000000005527","5527","AGTATACAY NORTE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","SAPI-AN","0601915000","AGTATACAY NORTE","0601915002","5806","","","","","","","","0"," ",""
"DOH000000000008613","8613","AGTATACAY SUR BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","SAPI-AN","0601915000","AGTATACAY SUR","0601915003","5806","","","","","","","","0"," ",""
"DOH000000000005215","5215","AGUIAUAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","MIAGAO","0603030000","AGUIAUAN","0603030002","5023","+639355296645","","","","","","","0"," ",""
"DOH000000000009618","9618","AGUILAR BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","GUIMARAS","0607900000","SAN LORENZO","0607904000","AGUILAR","0607904001","5047","","","","emyofalla@gmail.com","","","","0"," ",""
"DOH000000000006168","6168","AGUSTIN NAVARRA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","IVISAN","0601905000","AGUSTIN NAVARRA","0601905002","5805","","","","","","","","0"," ",""
"DOH000000000018534","18534","AIRPORT BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","ZONE 4","","REGION VI (WESTERN VISAYAS)","0600000000","CITY OF ILOILO  (HUC)","0631000000","CITY OF ILOILO (CAPITAL)","0631000000","AIRPORT","0631000004","5000","+63 333211373","","","barport.mainland@gmail.com","mandurriaohealthcenter2@gmail.com","","","0"," ",""
"DOH000000000003686","3686","AJUY PRIMARY CARE FACILITY","AJUY RURAL HEALTH UNIT","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","RIZAL STREET","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","AJUY","0603001000","POBLACION","0603001022","5012","+63 333930341","","+63 333920408","ajuyrhu@yahoo.com","ajuy_rhu11@yahoo.com","","","0","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2026"
"DOH000000000005737","5737","AKLAN COOPERATIVE MISSION HOSPITAL","","","","Health Facility","Hospital","Private","","","ROXAS AVENUE EXTENSION","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","KALIBO (CAPITAL)","0600407000","ANDAGAW","0600407001","5600","+63 362683855","","","ampc_acmh@yahoo.com","","","Level 1","50","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2026"
"DOH000000000043256","43256","AKLAN PROVINCIAL HEALTH OFFICE","","","","Health Related Facility","Provincial Health Office","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","KALIBO (CAPITAL)","0600407000","ESTANCIA","0600407008","","","","","","","","","0"," ",""
"DOH000000000009586","9586","ALAGUISOC BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","GUIMARAS","0607900000","JORDAN (CAPITAL)","0607902000","ALAGUISOC","0607902002","5045","","","","","","","","0"," ",""
"DOH000000000053129","53129","ALALASAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","ZONE 1","","REGION VI (WESTERN VISAYAS)","0600000000","CITY OF ILOILO  (HUC)","0631000000","CITY OF ILOILO (CAPITAL)","0631000000","ALALASAN LAPUZ","0631000005","5000","","","","bo.obrerodistricthealthcenter@yahoo.com","","","","0"," ",""
"DOH000000000017520","17520","ALAMEDA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","IGBARAS","0603021000","ALAMEDA","0603021001","5029","","","","mashielaescanlar30@gmail.com","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000018763","18763","ALAMINOS BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","MADALAG","0600410000","ALAMINOS","0600410001","5603","","","","","","","","0"," ",""
"DOH000000000043775","43775","ALANGAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","SIBALOM","0600616000","ALANGAN","0600616002","5713","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000047165","47165","ALAPASCO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","BATAD","0603009000","ALAPASCO","0603009001","5016","","","","batadrhu_2015@yahoo.com","","","","0"," ",""
"DOH000000000055303","55303","ALASAGING BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","MA-AYON","0601907000","ALASAGING","0601907002","5809","","","","","","","","0"," ",""
"DOH000000000023868","23868","ALAYUNAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","MA-AYON","0601907000","ALAYUNAN","0601907003","5809","","","","","","","","0"," ",""
"DOH000000000018803","18803","ALBASAN BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","NUMANCIA","0600416000","ALBASAN","0600416001","5604"," "," "," "," "," "," ","","0"," ",""
"DOH000000000043769","43769","ALEGRE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","TIBIAO","0600617000","ALEGRE","0600617001","","","","","","","","","0"," ",""
"DOH000000000046750","46750","ALEGRE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","OTON","0603034000","ALEGRE","0603034003","5020","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000045999","45999","ALEGRIA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","SAN REMIGIO","0600614000","ALEGRIA","0600614002","5714","","","","","","","","0"," ",""
"DOH000000000009689","9689","ALEGRIA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","GUIMARAS","0607900000","SIBUNAG","0607905000","ALEGRIA","0607905001","5048","","","","","","","","0"," ",""
"DOH000000000005451","5451","ALEOSAN DISTRICT HOSPITAL","","","","Health Facility","Hospital","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","ALIMODIAN","0603002000","BANCAL","0603002010","5028","+63 333310603","+63 333310602","+63 333310602","","","","Level 1","100","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2026"
"DOH000000000016426","16426","ALIBAYOG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","SARA","0603044000","ALIBAYOG","0603044003","5014","","","","","","","","0"," ",""
"DOH000000000024068","24068","ALIBUNAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CALINOG","0603013000","ALIBUNAN","0603013006","5040","","","","calinogrhu@yahoo.com","","","","0"," ",""
"DOH000000000005479","5479","ALIMODIAN PRIMARY CARE FACILITY","ALIMODIAN RHU","ALIMODIAN RHU BIRTHING FACILITY","","Health Facility","Rural Health Unit","Government","Local Government Unit","","PLAZA LIBERTAD STREET","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","ALIMODIAN","0603002000","POBLACION","0603002054","5028","+63 333310584","","+63 333310288","","","","","0","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2026"
"DOH000000000018537","18537","ALIMONO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CITY OF PASSI","0603035000","ALIMONO","0603035006","5037","+63 333115046","","","passicity_healthoffice@yahoo.com","dohro6hrh.passicity@gmail.com","","","0"," ",""
"DOH000000000024120","24120","ALIPUTOS BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","NUMANCIA","0600416000","ALIPUTOS","0600416002","5604"," "," "," "," "," "," ","","0"," ",""
"DOH000000000023947","23947","ALMEÑANA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","LEMERY","0603027000","ALME?ANA","0603027003","","","","","","","","","0"," ",""
"DOH000000000024097","24097","ALTAVAS MAIN HEALTH CENTER","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","ALTAVAS","0600401000","POBLACION","0600401011","5616","+63 362691307","","","","","","","0"," ",""
"DOH000000000004253","4253","ALTAVAS RURAL HEALTH UNIT AND BIRTHING CENTER","ALTAVAS RURAL HEALTH UNIT"," "," ","Health Facility","Rural Health Unit","Government","Local Government Unit","","MABINI ST.,"," ","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","ALTAVAS","0600401000","POBLACION","0600401011","5616","+63 362691307"," "," ","altavasrhu@yahoo.com"," "," ","","0","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2026"
